Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
Mason Kapoor,UK,Under Eye Cream,2022-01-13,1394.62,57
Liam Patel,Australia,Niacinamide Toner,2022-04-02,8143.6,213
Mason Kapoor,UK,Body Butter Cream,2022-07-10,12885.94,340
Liam Patel,Canada,Lip Balm Pack,2022-08-03,16223.13,362
Noah Mehta,UK,Face Sheet Masks,2022-03-18,8330.47,217
Mason Kapoor,New Zealand,Rose Water Toner,2022-06-19,5384.2,290
Ava Sharma,India,Hydrating Face Serum,2022-03-07,19594.27,450
Ava Sharma,New Zealand,Vitamin C Cream,2022-05-27,12213.24,266
Lucas Verma,UK,Hydrating Face Serum,2022-05-11,4242.56,357
Mason Kapoor,Australia,Face Sheet Masks,2022-03-20,13379.16,498
Lucas Verma,Australia,Tea Tree Moisturizer,2022-03-25,9353.99,246
Ananya Gupta,New Zealand,Vitamin C Cream,2022-08-26,5032.73,147
Mason Kapoor,UK,Lip Balm Pack,2022-01-09,3041.08,103
Ananya Gupta,Canada,Hair Repair Oil,2022-03-25,3258.73,150
Liam Patel,USA,Anti-Aging Serum,2022-05-17,10452.26,242
Ethan Reddy,USA,Hydrating Face Serum,2022-05-29,8642.86,298
Ananya Gupta,India,Rose Water Toner,2022-03-31,2523.86,102
Ethan Reddy,Canada,Charcoal Face Wash,2022-05-07,11599.9,324
Liam Patel,New Zealand,SPF 50 Sunscreen,2022-05-27,15606.61,331
Mason Kapoor,New Zealand,Lip Balm Pack,2022-07-13,9583.51,312
Noah Mehta,New Zealand,Tea Tree Moisturizer,2022-08-13,10192.85,373
Olivia D'Souza,USA,Hydrating Face Serum,2022-05-02,21701.44,483
Sophia Nair,India,Hair Repair Oil,2022-08-28,6496.58,366
Ananya Gupta,New Zealand,Body Butter Cream,2022-02-02,16383.31,438
Mason Kapoor,New Zealand,Body Butter Cream,2022-06-03,15834.45,361
Noah Mehta,UK,Lip Balm Pack,2022-05-17,7501.02,489
Noah Mehta,UK,Hydrating Face Serum,2022-06-24,922.43,29
Ananya Gupta,India,Salicylic Acid Cleanser,2022-04-28,6141.45,213
Noah Mehta,New Zealand,Rose Water Toner,2022-03-23,1745.79,156
Liam Patel,New Zealand,Charcoal Face Wash,2022-03-25,7268.2,198
Sophia Nair,UK,SPF 50 Sunscreen,2022-04-25,424.38,30
Noah Mehta,New Zealand,Body Butter Cream,2022-04-08,10711.79,331
Noah Mehta,USA,Vitamin C Cream,2022-03-23,8154.9,248
Ava Sharma,New Zealand,Tea Tree Moisturizer,2022-07-25,5132.41,454
Isabella Roy,India,Vitamin C Cream,2022-03-21,6538.2,264
Ethan Reddy,USA,Rose Water Toner,2022-07-11,13625.75,406
Isabella Roy,Australia,SPF 50 Sunscreen,2022-06-18,3344.35,244
Sophia Nair,India,Aloe Vera Gel,2022-03-02,11456.29,325
Ava Sharma,India,Hair Repair Oil,2022-04-19,8946.01,434
Ananya Gupta,Australia,Hair Repair Oil,2022-01-16,15120.74,360
Ethan Reddy,Canada,Under Eye Cream,2022-04-01,9372.51,274
Ananya Gupta,UK,Hydrating Face Serum,2022-05-22,4531.42,107
Noah Mehta,USA,Aloe Vera Gel,2022-01-13,16283.5,456
Ava Sharma,Canada,Tea Tree Moisturizer,2022-01-24,10108.84,402
Noah Mehta,UK,Body Butter Cream,2022-08-12,3801.03,202
Liam Patel,USA,Anti-Aging Serum,2022-07-08,1308.08,51
Noah Mehta,Canada,Face Sheet Masks,2022-07-09,13195.0,285
Isabella Roy,Australia,Niacinamide Toner,2022-04-25,5223.33,152
Olivia D'Souza,Canada,Salicylic Acid Cleanser,2022-08-30,6102.47,146
Noah Mehta,Australia,Hydrating Face Serum,2022-06-29,8416.43,237
Isabella Roy,Canada,Under Eye Cream,2022-05-22,8215.87,334
Sophia Nair,Canada,SPF 50 Sunscreen,2022-03-29,6936.38,322
Olivia D'Souza,New Zealand,Under Eye Cream,2022-03-04,2422.62,180
Lucas Verma,USA,Anti-Aging Serum,2022-01-13,17090.34,366
Ava Sharma,Canada,Hydrating Face Serum,2022-02-23,10497.39,324
Sophia Nair,UK,Under Eye Cream,2022-08-29,569.78,14
Olivia D'Souza,UK,Hydrating Face Serum,2022-03-15,4103.17,124
Isabella Roy,Australia,SPF 50 Sunscreen,2022-08-26,891.11,73
Isabella Roy,UK,Hydrating Face Serum,2022-01-18,14127.27,465
Olivia D'Souza,USA,Aloe Vera Gel,2022-03-25,5150.27,218
Noah Mehta,USA,Face Sheet Masks,2022-03-08,146.7,13
Sophia Nair,New Zealand,Hair Repair Oil,2022-02-17,3812.92,118
Mason Kapoor,USA,Niacinamide Toner,2022-07-23,9450.04,218
Noah Mehta,UK,Face Sheet Masks,2022-02-14,6457.54,293
Olivia D'Souza,UK,Under Eye Cream,2022-02-19,7925.54,309
Lucas Verma,USA,Tea Tree Moisturizer,2022-04-13,16861.45,385
Lucas Verma,New Zealand,Salicylic Acid Cleanser,2022-08-17,1650.87,72
Ananya Gupta,Australia,Hair Repair Oil,2022-07-15,19861.82,424
Isabella Roy,Canada,Body Butter Cream,2022-06-08,10647.12,234
Olivia D'Souza,Australia,SPF 50 Sunscreen,2022-06-03,1564.91,49
Liam Patel,India,Tea Tree Moisturizer,2022-01-10,2126.3,89
Liam Patel,India,Niacinamide Toner,2022-04-09,2893.74,204
Isabella Roy,Australia,Tea Tree Moisturizer,2022-04-17,13434.96,283
Ethan Reddy,India,Lip Balm Pack,2022-07-05,8273.51,169
Noah Mehta,UK,Charcoal Face Wash,2022-04-07,4063.64,149
Olivia D'Souza,UK,Aloe Vera Gel,2022-08-06,6650.47,471
Liam Patel,USA,Hydrating Face Serum,2022-02-08,4463.32,295
Ava Sharma,USA,SPF 50 Sunscreen,2022-03-10,16996.07,471
Olivia D'Souza,UK,Tea Tree Moisturizer,2022-08-30,4768.41,183
Isabella Roy,Australia,Face Sheet Masks,2022-03-30,18046.13,401
Mason Kapoor,USA,Aloe Vera Gel,2022-05-18,868.92,46
Liam Patel,Australia,Charcoal Face Wash,2022-01-26,4759.75,96
Isabella Roy,USA,Rose Water Toner,2022-03-22,19576.41,402
Sophia Nair,USA,Lip Balm Pack,2022-06-20,4824.94,235
Isabella Roy,Canada,Hair Repair Oil,2022-05-19,5555.52,150
Lucas Verma,USA,Aloe Vera Gel,2022-01-28,6004.2,126
Sophia Nair,USA,SPF 50 Sunscreen,2022-04-06,12369.81,456
Noah Mehta,UK,Lip Balm Pack,2022-05-23,861.89,29
Ava Sharma,Australia,Vitamin C Cream,2022-03-11,6048.32,360
Sophia Nair,India,Body Butter Cream,2022-06-02,15051.5,418
Mason Kapoor,UK,Under Eye Cream,2022-05-18,756.72,24
Isabella Roy,Canada,Salicylic Acid Cleanser,2022-06-22,534.64,22
Ava Sharma,Canada,Aloe Vera Gel,2022-04-11,12424.63,360
Liam Patel,India,Face Sheet Masks,2022-05-18,15136.25,354
Liam Patel,UK,Face Sheet Masks,2022-03-28,580.35,31
Ananya Gupta,India,Charcoal Face Wash,2022-08-30,5804.87,119
Noah Mehta,New Zealand,Face Sheet Masks,2022-01-30,23152.04,487
Mason Kapoor,Canada,SPF 50 Sunscreen,2022-08-19,6174.38,232
Lucas Verma,India,Tea Tree Moisturizer,2022-07-07,16619.54,425
Lucas Verma,New Zealand,Face Sheet Masks,2022-06-10,3214.37,161
Mason Kapoor,Australia,Vitamin C Cream,2022-08-13,16037.03,475
Lucas Verma,USA,Charcoal Face Wash,2022-03-30,6455.88,299
Isabella Roy,New Zealand,SPF 50 Sunscreen,2022-03-15,20659.54,478
Olivia D'Souza,Canada,Under Eye Cream,2022-04-19,19030.11,434
Noah Mehta,India,Hair Repair Oil,2022-05-07,5042.61,140
Sophia Nair,UK,SPF 50 Sunscreen,2022-02-11,15274.46,350
Mason Kapoor,USA,Charcoal Face Wash,2022-03-16,13934.58,498
Lucas Verma,Australia,SPF 50 Sunscreen,2022-08-13,858.68,73
Ananya Gupta,India,Hair Repair Oil,2022-05-01,10382.3,390
Olivia D'Souza,USA,Hair Repair Oil,2022-01-27,7825.06,499
Mason Kapoor,Canada,Anti-Aging Serum,2022-05-19,329.0,16
Isabella Roy,Australia,Rose Water Toner,2022-07-04,7014.04,191
Olivia D'Souza,India,Anti-Aging Serum,2022-01-02,9390.28,433
Noah Mehta,New Zealand,SPF 50 Sunscreen,2022-08-26,3368.14,279
Olivia D'Souza,Australia,Aloe Vera Gel,2022-07-31,2200.4,152
Sophia Nair,New Zealand,Face Sheet Masks,2022-06-11,381.6,23
Lucas Verma,USA,Body Butter Cream,2022-02-26,16452.13,440
Noah Mehta,India,Lip Balm Pack,2022-07-02,7364.22,306
Olivia D'Souza,USA,Face Sheet Masks,2022-06-01,11031.64,300
Ethan Reddy,India,Vitamin C Cream,2022-02-24,715.01,37
Ananya Gupta,Canada,Salicylic Acid Cleanser,2022-03-01,5699.19,197
Ava Sharma,India,SPF 50 Sunscreen,2022-02-16,7524.98,189
Sophia Nair,Australia,Hair Repair Oil,2022-01-01,10002.88,253
Liam Patel,New Zealand,Hair Repair Oil,2022-05-29,3812.45,85
Lucas Verma,Australia,Charcoal Face Wash,2022-08-03,6717.5,354
Ananya Gupta,Australia,Tea Tree Moisturizer,2022-05-09,8326.18,167
Isabella Roy,New Zealand,Salicylic Acid Cleanser,2022-01-31,5177.5,120
Ava Sharma,India,Body Butter Cream,2022-07-02,12188.95,362
Olivia D'Souza,India,Hair Repair Oil,2022-07-23,1225.41,80
Liam Patel,UK,Tea Tree Moisturizer,2022-04-28,16191.56,422
Olivia D'Souza,New Zealand,Lip Balm Pack,2022-05-01,10095.38,364
Ava Sharma,USA,Lip Balm Pack,2022-03-24,8901.98,335
Ethan Reddy,India,Under Eye Cream,2022-08-20,1761.2,138
Ava Sharma,UK,Rose Water Toner,2022-05-02,15189.5,308
Ananya Gupta,USA,Anti-Aging Serum,2022-01-27,7077.02,189
Sophia Nair,Australia,Tea Tree Moisturizer,2022-06-21,16495.37,424
Noah Mehta,UK,Vitamin C Cream,2022-02-27,6530.73,215
Noah Mehta,Australia,Under Eye Cream,2022-06-05,12915.63,388
Isabella Roy,Canada,Hydrating Face Serum,2022-08-06,16425.05,375
Olivia D'Souza,Australia,Hair Repair Oil,2022-06-12,6775.0,352
Lucas Verma,Canada,Lip Balm Pack,2022-03-24,4553.78,237
Liam Patel,USA,Anti-Aging Serum,2022-04-17,20895.19,482
Sophia Nair,UK,Hydrating Face Serum,2022-07-16,14822.36,318
Ethan Reddy,New Zealand,Rose Water Toner,2022-03-27,3428.81,225
Mason Kapoor,USA,Hydrating Face Serum,2022-06-10,2925.47,224
Lucas Verma,Canada,Tea Tree Moisturizer,2022-01-10,19444.09,452
Ethan Reddy,UK,Hair Repair Oil,2022-03-09,8591.2,176
Lucas Verma,UK,Body Butter Cream,2022-04-30,2289.16,167
Ananya Gupta,UK,Hydrating Face Serum,2022-06-01,6384.11,265
Lucas Verma,USA,Hydrating Face Serum,2022-01-10,2747.98,115
Liam Patel,Australia,Aloe Vera Gel,2022-04-27,6324.87,296
Liam Patel,USA,Anti-Aging Serum,2022-01-19,4592.38,155
Olivia D'Souza,UK,Tea Tree Moisturizer,2022-05-29,5016.53,164
Ethan Reddy,USA,Anti-Aging Serum,2022-03-19,636.78,43
Liam Patel,India,Vitamin C Cream,2022-03-28,2948.69,189
Ethan Reddy,Canada,Under Eye Cream,2022-04-19,19971.42,463
Ava Sharma,Australia,Salicylic Acid Cleanser,2022-06-18,8218.19,439
Ethan Reddy,Canada,Niacinamide Toner,2022-07-21,4964.03,225
Ethan Reddy,Australia,Tea Tree Moisturizer,2022-02-21,7881.92,253
Isabella Roy,India,Salicylic Acid Cleanser,2022-08-28,15267.53,321
Isabella Roy,USA,Hair Repair Oil,2022-04-02,16343.94,485
Sophia Nair,USA,Niacinamide Toner,2022-01-06,10904.55,236
Ethan Reddy,USA,Under Eye Cream,2022-07-16,3205.0,81
Olivia D'Souza,New Zealand,Under Eye Cream,2022-01-18,5771.22,140
Mason Kapoor,Australia,Charcoal Face Wash,2022-03-24,3977.2,80
Noah Mehta,New Zealand,Salicylic Acid Cleanser,2022-02-21,8919.5,363
Mason Kapoor,UK,Vitamin C Cream,2022-04-06,23284.44,499
Isabella Roy,Australia,Face Sheet Masks,2022-04-27,4260.44,103
Ava Sharma,India,Rose Water Toner,2022-03-14,7570.61,159
Ethan Reddy,Australia,Body Butter Cream,2022-03-31,18742.38,469
Mason Kapoor,UK,Anti-Aging Serum,2022-07-07,8787.8,249
Lucas Verma,New Zealand,Under Eye Cream,2022-07-01,16253.66,423
Lucas Verma,India,Aloe Vera Gel,2022-05-06,10789.63,436
Olivia D'Souza,Canada,Under Eye Cream,2022-03-20,841.52,27
Lucas Verma,UK,Under Eye Cream,2022-01-30,5926.16,152
Ava Sharma,Australia,Anti-Aging Serum,2022-06-02,7066.65,221
Olivia D'Souza,New Zealand,Body Butter Cream,2022-04-01,11533.13,427
Ava Sharma,Australia,Tea Tree Moisturizer,2022-06-10,6390.52,146
Sophia Nair,USA,Face Sheet Masks,2022-06-09,444.44,15
Ava Sharma,New Zealand,SPF 50 Sunscreen,2022-06-15,7220.46,171
Noah Mehta,Canada,SPF 50 Sunscreen,2022-02-24,3490.94,120
Mason Kapoor,Canada,Tea Tree Moisturizer,2022-08-12,7408.06,168
Noah Mehta,Canada,Rose Water Toner,2022-07-31,4111.71,175
Ananya Gupta,India,Tea Tree Moisturizer,2022-03-28,3823.54,269
Mason Kapoor,Australia,Lip Balm Pack,2022-07-06,4542.86,186
Noah Mehta,UK,Hydrating Face Serum,2022-04-29,527.39,11
Liam Patel,USA,Anti-Aging Serum,2022-02-22,4013.93,124
Ava Sharma,Australia,Niacinamide Toner,2022-01-12,593.94,38
Ethan Reddy,UK,SPF 50 Sunscreen,2022-01-08,4318.42,175
Sophia Nair,USA,Salicylic Acid Cleanser,2022-05-15,5293.89,144
Noah Mehta,USA,Under Eye Cream,2022-01-24,3165.41,181
Ethan Reddy,USA,Aloe Vera Gel,2022-04-24,5212.22,224
Ananya Gupta,UK,Tea Tree Moisturizer,2022-06-12,4320.88,211
Ananya Gupta,UK,Anti-Aging Serum,2022-08-27,434.03,16
Ava Sharma,USA,Rose Water Toner,2022-02-22,15708.48,486
Noah Mehta,New Zealand,Hair Repair Oil,2022-05-26,411.5,16
Liam Patel,Australia,Face Sheet Masks,2022-07-30,2124.81,101
Noah Mehta,Australia,Vitamin C Cream,2022-01-12,984.79,32
Ananya Gupta,New Zealand,Hydrating Face Serum,2022-04-26,13049.1,327
Olivia D'Souza,India,Body Butter Cream,2022-06-29,956.42,21
Ananya Gupta,New Zealand,SPF 50 Sunscreen,2022-04-15,5712.21,337
Isabella Roy,India,Niacinamide Toner,2022-04-28,6985.76,410
Ethan Reddy,USA,Niacinamide Toner,2022-08-10,10122.81,236
Olivia D'Souza,USA,Lip Balm Pack,2022-01-22,4746.86,321
Ava Sharma,UK,Hydrating Face Serum,2022-03-19,365.6,18
Sophia Nair,New Zealand,Face Sheet Masks,2022-08-15,9791.02,385
Lucas Verma,USA,Vitamin C Cream,2022-01-23,6966.13,364
Noah Mehta,USA,Tea Tree Moisturizer,2022-01-20,14282.35,458
Isabella Roy,Canada,Vitamin C Cream,2022-08-24,2735.77,73
Ethan Reddy,Canada,Hydrating Face Serum,2022-02-17,5503.98,338
Ananya Gupta,UK,Hydrating Face Serum,2022-05-04,10872.5,351
Ananya Gupta,Australia,Aloe Vera Gel,2022-01-06,4158.5,286
Ethan Reddy,Australia,Hair Repair Oil,2022-04-15,23977.48,481
Liam Patel,New Zealand,Charcoal Face Wash,2022-08-25,5031.06,161
Noah Mehta,Canada,Vitamin C Cream,2022-05-31,7460.34,356
Ethan Reddy,USA,Niacinamide Toner,2022-07-08,6613.2,186
Ethan Reddy,New Zealand,Lip Balm Pack,2022-04-30,708.87,36
Isabella Roy,New Zealand,Hydrating Face Serum,2022-06-16,10445.39,306
Sophia Nair,Australia,Vitamin C Cream,2022-04-11,5797.63,254
Sophia Nair,India,Anti-Aging Serum,2022-03-19,10473.97,441
Isabella Roy,Canada,Hair Repair Oil,2022-07-15,1372.66,33
Isabella Roy,New Zealand,SPF 50 Sunscreen,2022-03-03,11414.54,333
Noah Mehta,India,Vitamin C Cream,2022-05-16,631.36,41
Lucas Verma,Australia,Anti-Aging Serum,2022-03-30,6093.04,357
Olivia D'Souza,Australia,Hair Repair Oil,2022-04-13,3335.93,270
Isabella Roy,USA,Lip Balm Pack,2022-06-11,15130.24,384
Liam Patel,Australia,Charcoal Face Wash,2022-03-05,3321.69,145
Sophia Nair,New Zealand,Aloe Vera Gel,2022-08-16,2336.36,119
Noah Mehta,USA,Hydrating Face Serum,2022-04-15,19443.77,420
Olivia D'Souza,Canada,Tea Tree Moisturizer,2022-01-31,4534.5,161
Ananya Gupta,UK,Hydrating Face Serum,2022-08-24,1027.1,69
Ethan Reddy,India,Hair Repair Oil,2022-03-15,2883.0,66
Mason Kapoor,New Zealand,Charcoal Face Wash,2022-01-08,2593.64,66
Mason Kapoor,UK,Hydrating Face Serum,2022-04-03,5802.73,433
Ethan Reddy,Australia,Hydrating Face Serum,2022-05-18,11992.11,257
Ananya Gupta,USA,Hair Repair Oil,2022-02-07,352.92,30
Ava Sharma,New Zealand,Tea Tree Moisturizer,2022-05-28,7024.11,190
Sophia Nair,New Zealand,Hair Repair Oil,2022-05-31,2884.52,118
Ananya Gupta,USA,Face Sheet Masks,2022-06-26,5022.76,154
Ananya Gupta,New Zealand,Lip Balm Pack,2022-08-18,5250.58,299
Ethan Reddy,USA,Niacinamide Toner,2022-05-09,2584.15,108
Mason Kapoor,USA,Vitamin C Cream,2022-07-13,8581.27,190
Sophia Nair,New Zealand,Lip Balm Pack,2022-06-03,559.73,12
Olivia D'Souza,India,Face Sheet Masks,2022-06-07,12905.06,498
Sophia Nair,USA,Hair Repair Oil,2022-06-24,13509.42,296
Ananya Gupta,India,Salicylic Acid Cleanser,2022-05-29,3116.98,148
Isabella Roy,USA,Anti-Aging Serum,2022-06-05,1123.46,56
Ethan Reddy,USA,Niacinamide Toner,2022-03-30,18188.8,495
Mason Kapoor,USA,Rose Water Toner,2022-01-25,8484.94,317
Sophia Nair,New Zealand,Aloe Vera Gel,2022-07-22,6693.75,476
Noah Mehta,New Zealand,Body Butter Cream,2022-06-27,9682.74,394
Isabella Roy,Australia,Anti-Aging Serum,2022-01-19,3241.7,232
Liam Patel,India,Tea Tree Moisturizer,2022-03-29,10885.26,233
Olivia D'Souza,USA,Anti-Aging Serum,2022-06-24,4934.32,194
Ethan Reddy,New Zealand,Anti-Aging Serum,2022-03-24,21726.67,436
Ethan Reddy,New Zealand,Body Butter Cream,2022-04-18,5873.54,355
Ananya Gupta,Canada,Salicylic Acid Cleanser,2022-07-10,9561.31,268
Ananya Gupta,Australia,Charcoal Face Wash,2022-02-26,3463.01,74
Isabella Roy,USA,Charcoal Face Wash,2022-06-23,136.05,11
Olivia D'Souza,Australia,Lip Balm Pack,2022-05-21,3525.11,215
Olivia D'Souza,Australia,Charcoal Face Wash,2022-04-08,4819.15,332
Liam Patel,Canada,Niacinamide Toner,2022-08-21,5661.96,136
Isabella Roy,Australia,Vitamin C Cream,2022-01-28,980.84,39
Lucas Verma,Australia,Charcoal Face Wash,2022-08-05,1430.77,38
Noah Mehta,India,Niacinamide Toner,2022-07-27,1178.22,40
Lucas Verma,New Zealand,Body Butter Cream,2022-02-18,9645.48,286
Mason Kapoor,New Zealand,Hydrating Face Serum,2022-02-11,3703.09,141
Ava Sharma,New Zealand,SPF 50 Sunscreen,2022-02-28,10465.99,393
Sophia Nair,India,Vitamin C Cream,2022-03-27,11297.48,314
Ananya Gupta,USA,Anti-Aging Serum,2022-07-26,9203.38,400
Lucas Verma,India,Face Sheet Masks,2022-07-07,10092.43,239
Ethan Reddy,New Zealand,Hair Repair Oil,2022-07-11,2394.9,84
Ethan Reddy,Australia,Vitamin C Cream,2022-01-31,4157.41,264
Mason Kapoor,Australia,Tea Tree Moisturizer,2022-06-28,3986.46,140
Sophia Nair,New Zealand,Lip Balm Pack,2022-06-03,16045.86,477
Ethan Reddy,New Zealand,Aloe Vera Gel,2022-01-27,5616.37,246
Isabella Roy,India,Under Eye Cream,2022-08-11,1741.42,42
Mason Kapoor,Australia,Niacinamide Toner,2022-07-27,4344.35,109
Liam Patel,USA,Body Butter Cream,2022-03-09,8483.48,342
Olivia D'Souza,New Zealand,Salicylic Acid Cleanser,2022-05-06,723.29,27
Lucas Verma,UK,Salicylic Acid Cleanser,2022-01-20,4476.0,343
Sophia Nair,New Zealand,SPF 50 Sunscreen,2022-05-09,13449.54,299
Ananya Gupta,New Zealand,Niacinamide Toner,2022-07-27,13220.1,305
Olivia D'Souza,Australia,SPF 50 Sunscreen,2022-06-03,16987.7,411
Ananya Gupta,Australia,Lip Balm Pack,2022-07-10,9085.51,237
Olivia D'Souza,USA,Anti-Aging Serum,2022-06-27,11544.08,423
Olivia D'Souza,USA,Vitamin C Cream,2022-04-23,12587.78,297
Liam Patel,Canada,Salicylic Acid Cleanser,2022-04-17,12202.64,321
Ava Sharma,UK,SPF 50 Sunscreen,2022-01-23,6319.71,366
Olivia D'Souza,New Zealand,Under Eye Cream,2022-02-18,16902.63,472
Liam Patel,India,Tea Tree Moisturizer,2022-08-03,5408.77,412
Ananya Gupta,New Zealand,Face Sheet Masks,2022-05-02,11725.2,314
Liam Patel,Canada,Tea Tree Moisturizer,2022-04-22,9669.71,376
Ananya Gupta,New Zealand,Vitamin C Cream,2022-01-03,2875.15,201
Sophia Nair,India,Anti-Aging Serum,2022-03-11,14214.55,447
Mason Kapoor,India,Body Butter Cream,2022-03-05,1195.52,29
Olivia D'Souza,Australia,Under Eye Cream,2022-05-04,16375.54,491
Ethan Reddy,New Zealand,Aloe Vera Gel,2022-03-24,8190.32,240
Ethan Reddy,New Zealand,Under Eye Cream,2022-05-24,19125.15,488
Lucas Verma,Australia,Hair Repair Oil,2022-04-15,585.65,20
Lucas Verma,UK,Aloe Vera Gel,2022-03-26,20317.26,485
Mason Kapoor,New Zealand,Rose Water Toner,2022-08-07,9887.34,320
Sophia Nair,Canada,Anti-Aging Serum,2022-07-31,8194.42,276
Isabella Roy,Australia,Under Eye Cream,2022-03-26,7471.71,491
Sophia Nair,UK,SPF 50 Sunscreen,2022-06-02,7060.26,142
Olivia D'Souza,UK,Salicylic Acid Cleanser,2022-06-02,13053.64,282
Mason Kapoor,USA,Anti-Aging Serum,2022-04-29,8399.02,181
Olivia D'Souza,UK,Hydrating Face Serum,2022-03-11,7990.6,199
Olivia D'Souza,Australia,Aloe Vera Gel,2022-07-25,11098.01,225
Lucas Verma,Australia,Body Butter Cream,2022-05-03,19951.07,426
Lucas Verma,Australia,Hydrating Face Serum,2022-01-08,119.82,10
Sophia Nair,USA,Anti-Aging Serum,2022-01-02,12551.57,377
Noah Mehta,USA,Rose Water Toner,2022-07-29,7718.1,265
Ananya Gupta,New Zealand,Body Butter Cream,2022-07-29,6264.79,163
Ethan Reddy,Australia,Niacinamide Toner,2022-01-06,1617.05,69
Isabella Roy,India,Charcoal Face Wash,2022-03-26,2630.52,64
Olivia D'Souza,USA,SPF 50 Sunscreen,2022-08-28,5024.53,251
Lucas Verma,Canada,Hair Repair Oil,2022-01-27,19586.58,451
Lucas Verma,Canada,Under Eye Cream,2022-07-11,1905.06,40
Mason Kapoor,India,Anti-Aging Serum,2022-04-12,5032.22,474
Isabella Roy,UK,Tea Tree Moisturizer,2022-04-19,7678.26,236
Olivia D'Souza,UK,Vitamin C Cream,2022-02-10,20181.0,409
Olivia D'Souza,Canada,Anti-Aging Serum,2022-01-04,8709.22,178
Liam Patel,UK,Face Sheet Masks,2022-08-01,18763.82,444
Lucas Verma,Australia,Hair Repair Oil,2022-03-20,11343.37,269
Liam Patel,UK,Vitamin C Cream,2022-06-13,4905.1,248
Ava Sharma,USA,Charcoal Face Wash,2022-03-17,10071.75,204
Sophia Nair,Canada,Hair Repair Oil,2022-07-31,5025.69,133
Olivia D'Souza,New Zealand,Charcoal Face Wash,2022-08-30,1274.86,81
Noah Mehta,USA,Face Sheet Masks,2022-04-05,2848.07,193
Isabella Roy,Australia,Rose Water Toner,2022-06-19,5431.35,152
Olivia D'Souza,UK,Rose Water Toner,2022-06-21,23090.87,482
Ananya Gupta,Australia,Anti-Aging Serum,2022-06-11,13289.99,273
Isabella Roy,Canada,SPF 50 Sunscreen,2022-04-02,14114.16,422
Liam Patel,Australia,Charcoal Face Wash,2022-03-14,3064.72,251
Noah Mehta,UK,Lip Balm Pack,2022-07-03,13987.08,372
Olivia D'Souza,UK,Niacinamide Toner,2022-07-18,17890.38,457
Ananya Gupta,UK,Tea Tree Moisturizer,2022-08-01,11345.7,487
Liam Patel,USA,Under Eye Cream,2022-05-05,3795.64,206
Lucas Verma,USA,SPF 50 Sunscreen,2022-07-26,1004.71,21
Liam Patel,Australia,Vitamin C Cream,2022-05-30,5575.62,371
Ananya Gupta,New Zealand,Hydrating Face Serum,2022-05-07,12563.44,420
Ananya Gupta,USA,Lip Balm Pack,2022-06-21,4983.24,143
Sophia Nair,New Zealand,Salicylic Acid Cleanser,2022-08-16,782.09,19
Liam Patel,UK,Vitamin C Cream,2022-08-17,17614.9,386
